qName	sName	peri	alilen	numMM	nnGP	qSS	qSE	sSS	sSE	Evalue	bitScore	qlen	coveragePercent
gnl|ECaadb|243|NP_414806.1	gnl|RZaadb|3094	34.21	228	149	1	13	240	23	249	3e-32	116	252	90.4761904761905
gnl|ECaadb|278|NP_414847.3	gnl|RZaadb|1164	34.21	190	121	2	6	194	1	187	2e-23	90.5	195	96.9230769230769
gnl|ECaadb|320|NP_414891.4	gnl|RZaadb|860	38.46	91	55	1	1	91	1	90	4e-18	69.7	91	100
gnl|ECaadb|355|NP_414933.1	gnl|RZaadb|241	49.33	223	113	0	1	223	1	223	5e-73	219	229	97.3799126637555
gnl|ECaadb|369|NP_414947.1	gnl|RZaadb|16	42.18	147	85	0	1	147	1	147	4e-35	117	149	98.6577181208054
gnl|ECaadb|391|NP_414969.4	gnl|RZaadb|5895	43.9	82	41	1	1	77	1	82	3e-15	63.2	105	73.3333333333333
gnl|ECaadb|403|NP_414981.4	gnl|RZaadb|545	52.32	151	71	1	2	152	1	150	5e-59	178	152	99.3421052631579
gnl|ECaadb|419|NP_414997.1	gnl|RZaadb|5144	39.29	84	49	2	1	84	4	85	2e-13	63.5	215	39.0697674418605
gnl|ECaadb|442|NP_415020.1	gnl|RZaadb|548	44.88	127	69	1	1	127	1	126	6e-33	110	135	94.0740740740741
gnl|ECaadb|512|NP_415103.1	gnl|RZaadb|5833	44.59	222	123	0	1	222	24	245	1e-65	201	227	97.7973568281938
gnl|ECaadb|610|NP_415209.1	gnl|RZaadb|772	43.33	120	67	1	12	131	16	134	9e-31	105	148	81.0810810810811
gnl|ECaadb|619|NP_415222.1	gnl|RZaadb|4619	42.15	223	126	2	2	223	6	226	2e-47	154	225	98.6666666666667
gnl|ECaadb|710|NP_415317.4	gnl|RZaadb|2498	30.18	222	143	4	2	214	7	225	2e-21	86.3	223	95.5156950672646
gnl|ECaadb|801|NP_415409.1	gnl|RZaadb|4068	45.52	145	79	0	11	155	10	154	3e-45	143	164	88.4146341463415
gnl|ECaadb|824|NP_415432.1	gnl|RZaadb|12	49.45	91	46	0	1	91	1	91	4e-29	98.2	94	96.8085106382979
gnl|ECaadb|924|NP_415533.1	gnl|RZaadb|5412	50.82	183	90	0	29	211	38	220	5e-63	192	212	86.3207547169811
gnl|ECaadb|925|NP_415534.1	gnl|RZaadb|4066	57.83	1264	486	12	68	1320	8	1235	0	1347	1320	94.9242424242424
gnl|ECaadb|1015|NP_415629.4	gnl|RZaadb|930	30.1	196	135	2	10	204	4	198	5e-21	84.3	210	92.8571428571429
gnl|ECaadb|1034|NP_415648.1	gnl|RZaadb|1178	42.66	218	121	1	1	218	1	214	1e-55	174	223	97.7578475336323
gnl|ECaadb|1189|NP_415815.1	gnl|RZaadb|5641	35.2	179	112	3	9	185	6	182	1e-30	108	185	95.6756756756757
gnl|ECaadb|1217|NP_415844.1	gnl|RZaadb|1316	53.54	297	138	0	1	297	1	297	1e-97	286	299	99.3311036789298
gnl|ECaadb|1223|NP_415850.1	gnl|RZaadb|4983	30.35	201	126	5	50	244	35	227	8e-23	91.3	250	78
gnl|ECaadb|1395|NP_416047.4	gnl|RZaadb|3409	37.84	111	61	3	38	143	54	161	5e-17	70.9	144	73.6111111111111
gnl|ECaadb|1498|NP_416159.2	gnl|RZaadb|2566	37.04	135	84	1	5	139	7	140	1e-20	80.1	144	93.75
gnl|ECaadb|1513|NP_416175.1	gnl|RZaadb|3019	32.93	334	222	2	1	334	1	332	5e-47	159	341	97.9472140762463
gnl|ECaadb|1563|NP_416227.1	gnl|RZaadb|2735	50.54	93	46	0	2	94	5	97	1e-30	102	99	93.9393939393939
gnl|ECaadb|1638|NP_416304.1	gnl|RZaadb|3731	32.74	226	151	1	32	256	36	261	2e-37	130	273	82.4175824175824
gnl|ECaadb|1700|NP_416367.1	gnl|RZaadb|4681	33.22	289	185	4	1	284	1	286	1e-42	145	289	98.2698961937716
gnl|ECaadb|1755|NP_416424.1	gnl|RZaadb|1230	34.34	198	127	2	2	199	4	198	7e-32	112	218	90.8256880733945
gnl|ECaadb|1814|NP_416493.1	gnl|RZaadb|4895	39.32	295	174	2	1	290	1	295	1e-65	205	305	95.0819672131148
gnl|ECaadb|1836|NP_416521.2	gnl|RZaadb|942	41.25	80	47	0	1	80	1	80	8e-18	68.6	83	96.3855421686747
gnl|ECaadb|1897|NP_416583.1	gnl|RZaadb|4872	40.77	233	132	3	10	238	2	232	2e-48	157	240	95.4166666666667
gnl|ECaadb|1997|NP_416697.1	gnl|RZaadb|4928	34.17	199	125	3	1	198	1	194	4e-30	108	215	92.0930232558139
gnl|ECaadb|2017|NP_416717.1	gnl|RZaadb|3319	32.36	343	223	5	9	348	8	344	2e-40	143	354	96.045197740113
gnl|ECaadb|2024|NP_416724.1	gnl|RZaadb|5072	37.68	499	270	4	1	458	7	505	2e-100	307	461	99.3492407809111
gnl|ECaadb|2090|NP_416792.1	gnl|RZaadb|1129	33.7	270	179	0	11	280	5	274	4e-40	140	312	86.5384615384615
gnl|ECaadb|2277|NP_416986.4	gnl|RZaadb|970	52.08	240	114	1	344	583	204	442	3e-69	233	670	35.8208955223881
gnl|ECaadb|2316|NP_417026.1	gnl|RZaadb|2962	37.65	85	53	0	3	87	2	86	6e-14	62.8	162	52.4691358024691
gnl|ECaadb|2448|NP_417177.1	gnl|RZaadb|1985	53.12	864	375	10	7	849	6	860	0	823	876	96.2328767123288
gnl|ECaadb|2554|NP_417288.1	gnl|RZaadb|2466	37.2	293	179	3	1	292	1	289	1e-59	190	305	95.7377049180328
gnl|ECaadb|2580|NP_417314.1	gnl|RZaadb|345	34.46	296	180	6	4	292	6	294	9e-54	177	343	84.2565597667638
